user_id,song_id,title,artist,genre,mood
user_0001,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0001,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0001,song_0008,Collection everybody we,Michael Vasquez,Rock,Happy
user_0002,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0002,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0002,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0010,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0010,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0010,song_0008,Collection everybody we,Michael Vasquez,Rock,Happy
user_0014,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0014,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0014,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0015,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0015,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0015,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0018,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0018,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0018,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0019,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0019,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0019,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0023,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0023,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0023,song_0008,Collection everybody we,Michael Vasquez,Rock,Happy
user_0024,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0024,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0024,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0025,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
user_0025,song_0004,Above stay our,Andrew Frye,Pop,Happy
user_0025,song_0006,Only white special,Jennifer Jones,Pop,Happy
user_0029,song_0001,Perhaps behavior cultural,Kayla Brennan,Pop,Happy
