user_id,song_id,timestamp,duration_sec
user_0086,song_0172,2025-03-20 05:16:37,256
user_0079,song_0130,2025-03-25 21:23:37,258
user_0021,song_0163,2025-03-25 07:15:37,156
user_0082,song_0193,2025-03-22 23:33:37,152
user_0036,song_0083,2025-04-01 06:49:37,201
user_0041,song_0021,2025-04-04 10:57:37,148
user_0050,song_0187,2025-04-02 13:54:37,242
user_0053,song_0162,2025-03-26 13:58:37,135
user_0054,song_0193,2025-03-20 16:21:37,40
user_0098,song_0123,2025-04-08 04:05:37,182
user_0097,song_0114,2025-03-21 21:27:37,142
user_0063,song_0099,2025-03-24 15:06:37,229
user_0044,song_0113,2025-03-16 10:27:37,269
user_0017,song_0137,2025-04-08 02:39:37,43
user_0011,song_0046,2025-03-12 00:20:37,123
user_0007,song_0105,2025-04-02 00:34:37,197
user_0044,song_0113,2025-03-31 01:42:37,159
user_0011,song_0188,2025-03-22 14:19:37,209
user_0029,song_0180,2025-04-07 15:02:37,156
user_0026,song_0160,2025-04-04 07:57:37,94
user_0061,song_0150,2025-03-09 08:39:37,268
user_0090,song_0111,2025-04-02 19:25:37,88
user_0100,song_0080,2025-04-04 20:20:37,43
user_0040,song_0112,2025-03-27 09:19:37,68
user_0076,song_0170,2025-04-01 12:37:37,184
user_0088,song_0027,2025-03-13 20:46:37,51
user_0045,song_0196,2025-03-28 13:44:37,289
user_0083,song_0119,2025-03-12 23:22:37,84
user_0056,song_0163,2025-03-11 00:24:37,108
user_0056,song_0124,2025-03-08 17:53:37,168
user_0079,song_0138,2025-03-14 23:35:37,268
user_0056,song_0152,2025-03-31 05:05:37,155
user_0012,song_0110,2025-04-01 00:14:37,224
user_0044,song_0105,2025-04-02 23:27:37,138
user_0046,song_0093,2025-03-30 19:45:37,171
user_0072,song_0055,2025-04-06 07:51:37,238
user_0063,song_0059,2025-03-16 23:50:37,281
user_0058,song_0022,2025-03-30 08:32:37,237
user_0089,song_0174,2025-03-21 03:30:37,272
user_0071,song_0126,2025-03-15 21:18:37,199
user_0046,song_0078,2025-03-30 07:31:37,148
